All,Vše,module,Magento_AdminGws
None,Nic,module,Magento_AdminGws
"Allowed Scopes","Povolené obory",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Potřebujete další oprávnění k odstranění této položky: %1.",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","K uložení úprav funkce potřebujete vyšší oprávnění.",module,Magento_AdminGws
"Please assign this entity to a store view.","K zobrazení obchodu přiřaďte tuto entitu.",module,Magento_AdminGws
"You can create orders only in an active store.","Objednávku můžete vytvořit pouze v aktivním obchodu.",module,Magento_AdminGws
"Please assign this item to a store view.","K zobrazení obchodu přiřaďte tuto položku.",module,Magento_AdminGws
"You need more permissions to save this item.","Nemáte dostatečnou pravomoc k uložení této položky.",module,Magento_AdminGws
"You need more permissions to delete this item.","Nemáte dostatečnou pravomoc ke smazání této položky.",module,Magento_AdminGws
"You need more permissions to view this item.","Nemáte dostatečnou pravomoc k prohlížení této položky.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Musíte zadat alespoň jednu webovou stránku obchodu anebo skupinu obchodu.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","K nastavení všech rozsahů role potřebujete vyšší oprávnění.",module,Magento_AdminGws
"Incorrect website ID: %1","Nesprávné ID webu: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","K přístupu k webu ""%1"" potřebujete vyšší oprávnění.",module,Magento_AdminGws
"Incorrect store ID: %1","Nesprávné ID obchodu: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","K uložení nastavení potřebujete vyšší oprávnění.",module,Magento_AdminGws
"Role Scopes","Rozsahy role",module,Magento_AdminGws
Custom,Vlastní,module,Magento_AdminGws
"Read Details","Číst podrobnosti",module,Magento_AdminNotification
"Mark as Read","Označit jako přečtené",module,Magento_AdminNotification
"Are you sure?","Skutečně chcete provést tuto akci?",module,Magento_AdminNotification
Remove,Odstranit,module,Magento_AdminNotification
"Messages Inbox","Složka příchozích zpráv",module,Magento_AdminNotification
"You have %1 new system messages","Máte %1 nové systémové zprávy",module,Magento_AdminNotification
"You have %1 new system message","Máte %1 novou systémovou zprávu",module,Magento_AdminNotification
"Incoming Message","Příchozí zpráva",module,Magento_AdminNotification
close,zavřít,module,Magento_AdminNotification
Notifications,Oznámení,module,Magento_AdminNotification
"The message has been marked as Read.","Zpráva byla označena jako přečtená.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Z důvodu chyby nelze zprávu označit jako přečtenou.",module,Magento_AdminNotification
"Please select messages.","Zvolte zprávy prosím.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Jako přečtené bylo označeno celkem %1 zpráv(y).",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Bylo odstraněno celkem %1 zpráv(y).",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Z důvodu chyby nelze zprávy odstranit.",module,Magento_AdminNotification
"The message has been removed.","Zpráva byla odstraněna.",module,Magento_AdminNotification
"1 Hour","1 hodina",module,Magento_AdminNotification
"2 Hours","2 hodiny",module,Magento_AdminNotification
"6 Hours","6 hodin",module,Magento_AdminNotification
"12 Hours","12 hodin",module,Magento_AdminNotification
"24 Hours","24 hodin",module,Magento_AdminNotification
critical,výstraha,module,Magento_AdminNotification
major,varování,module,Magento_AdminNotification
minor,upozornění,module,Magento_AdminNotification
notice,oznámení,module,Magento_AdminNotification
"Wrong message type","Chybný typ zprávy",module,Magento_AdminNotification
"Wrong notification ID specified.","Zvoleno chybné ID upozornění.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","V produkčním prostředí byste neměli používat {{base_url}} k deklaraci Základní URL adresy / Zabezpečené URL adresy. Je důrazně doporučeno v <a href=""%1"">nastavení</a> tento údaj změnit.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1.","Jedna nebo více mezipamětí vyžaduje obnovu: %1.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Jděte do <a href=""%1"">Správy mezipaměti</a> a obnovte neplatné.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Jeden nebo více souborů médií nebylo možné synchronizovat. Více podrobností naleznete v protokolu.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Synchronizace úložiště médií byla dokončena.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Váš webový server je chybně nakonfigurován a umožňuje neoprávněný přístup k citlivým souborům. Obraťte se na svého poskytovatele hostingu.",module,Magento_AdminNotification
"System Messages:","Systémové zprávy:",module,Magento_AdminNotification
"Critical System Messages","Výstrahy systému",module,Magento_AdminNotification
"Major System Messages","Varování systému",module,Magento_AdminNotification
"System messages","Systémové zprávy",module,Magento_AdminNotification
Close,Zavřít,module,Magento_AdminNotification
"See All (","Zobrazit všechny (",module,Magento_AdminNotification
unread),nepřečtené),module,Magento_AdminNotification
"Show Toolbar","Zobrazit panel nástrojů",module,Magento_AdminNotification
"Show List","Zobrazit seznam",module,Magento_AdminNotification
"Use HTTPS to Get Feed","K příjmu zpráv použít HTTPS",module,Magento_AdminNotification
"Update Frequency","Četnost aktualizace",module,Magento_AdminNotification
"Last Update","Poslední aktualizace",module,Magento_AdminNotification
Severity,Závažnost,module,Magento_AdminNotification
"Date Added","Ze dne",module,Magento_AdminNotification
Message,Zpráva,module,Magento_AdminNotification
Actions,Akce,module,Magento_AdminNotification
"Manage Shopping Cart","Upravit nákupní košík",module,Magento_AdvancedCheckout
"Create Order","Vytvořit objednávku",module,Magento_AdvancedCheckout
Back,Zpět,module,Magento_AdvancedCheckout
"Add Products","Přidat produkty",module,Magento_AdvancedCheckout
"Update Items and Quantities","Upravit položky a množství",module,Magento_AdvancedCheckout
"Are you sure you want to clear your cart?","Skutečně chcete smazat obsah košíku?",module,Magento_AdvancedCheckout
"Clear my shopping cart","Vyprázdnit košík",module,Magento_AdvancedCheckout
"Add selections to my cart","Přidat výběr do košíku",module,Magento_AdvancedCheckout
Cancel,Zrušit,module,Magento_AdvancedCheckout
"Shopping Cart for %1 in %2","Nákupní košík pro %1 v %2",module,Magento_AdvancedCheckout
"Select products you want to buy","Zvolte produkty, které chcete zakoupit",module,Magento_AdvancedCheckout
Product,Produkt,module,Magento_AdvancedCheckout
Price,Cena,module,Magento_AdvancedCheckout
Quantity,Množství,module,Magento_AdvancedCheckout
"Products in the Comparison List (%1)","Porovnávané produkty (%1)",module,Magento_AdvancedCheckout
"Last ordered items (%1)","Poslední objednané produkty (%1)",module,Magento_AdvancedCheckout
Products,Produkty,module,Magento_AdvancedCheckout
ID,ID,module,Magento_AdvancedCheckout
SKU,SKU,module,Magento_AdvancedCheckout
"Recently Compared Products (%1)","Poslední porovnávané produkty (%1)",module,Magento_AdvancedCheckout
"Recently Viewed Products (%1)","Poslední navštívené produkty (%1)",module,Magento_AdvancedCheckout
"Add to Shopping Cart by SKU","Přidat do košíku podle SKU",module,Magento_AdvancedCheckout
"Add to Shopping Cart","Přidat do košíku",module,Magento_AdvancedCheckout
"Wish List (%1)","Oblíbené (%1)",module,Magento_AdvancedCheckout
Apply,Použít,module,Magento_AdvancedCheckout
Configure,Nastavit,module,Magento_AdvancedCheckout
"Add to Order by SKU","Přidat k objednávce podle SKU",module,Magento_AdvancedCheckout
"Add to Order","Přidat k objednávce",module,Magento_AdvancedCheckout
"Add Products to Order","Přidat produkty k objednávce",module,Magento_AdvancedCheckout
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produkt(ů) vyžaduje vaší pozornost.</span>",module,Magento_AdvancedCheckout
"Remove All","Odebrat vše",module,Magento_AdvancedCheckout
"Only %1%2%3 left in stock","Posledních %1%2%3 skladem",module,Magento_AdvancedCheckout
